"","logName","logValue"
"1",taumina,700
"2",taumaxa,950
"3",tauminb,800
"4",taumaxb,850
"5",tauminc,900
"6",taumaxc,950
"7",measError1,0.01
"8",measError2,0.001
"9",measErrorYears1_700,93.8550214540018
"10",measErrorYears2_700,9.38550214540018
"11",measErrorYears1_950,90.9790848603782
"12",measErrorYears2_950,9.09790848603782
