Parameter,Value
taumina,700
taumaxa,950
tauminb,800
taumaxb,850
tauminc,900
taumaxc,950
measError1,0.01
measError2,0.001
measErrorYears1_700,93.85502145400176
measErrorYears2_700,9.385502145400176
measErrorYears1_950,90.97908486037818
measErrorYears2_950,9.097908486037817
